Fetching product list...
Got 318 products (API count: 318 )
DB ready. brandId: 18404fc5 catId: 9ee350a7 lineId: 3567ae4e
[171/318] OK: SEPN 4832T(F5032) | desc:3182 spec:4101 main:1 pdf:1
[172/318] OK: CDN M5-200 | desc:2642 spec:633 main:1 pdf:1
[173/318] OK: CN 416M4N-200 | desc:1845 spec:1365 main:1 pdf:1
[174/318] OK: PFS 6916T | desc:2536 spec:3285 main:1 pdf:1
[175/318] OK: CN 416M4N-100 | desc:2259 spec:1402 main:1 pdf:1
[176/318] OK: VHF-LISN BM3-16 | desc:3393 spec:8771 main:1 pdf:1
[177/318] OK: VHF-LISN NBM3-16 | desc:3295 spec:9347 main:1 pdf:1
[178/318] OK: R25/50/100Ω | desc:2767 spec:3784 main:1 pdf:1
[179/318] OK: R/1-16Ω/1134 | desc:3061 spec:0 main:1 pdf:1
[180/318] OK: PIC 1134 | desc:2163 spec:3137 main:1 pdf:1
[181/318] OK: DOS 300(122X10) | desc:2407 spec:4011 main:1 pdf:1
[182/318] OK: DOS 300(1384016) | desc:2407 spec:4011 main:1 pdf:1
[183/318] OK: DOS 300(138X16) | desc:2407 spec:4011 main:1 pdf:1
[184/318] OK: DOS 300.2(1384032) | desc:2407 spec:4011 main:1 pdf:1
[185/318] OK: DOS 300.2(14410032) | desc:2407 spec:4011 main:1 pdf:1
[186/318] OK: DOS 300.2(169100100) | desc:2407 spec:4011 main:1 pdf:1
[187/318] OK: DOS 300.3(170150300) | desc:2407 spec:4011 main:1 pdf:1
[188/318] OK: DOS 300(3384016) | desc:2407 spec:4011 main:1 pdf:1
[189/318] OK: DOS 300.2(3100150100) | desc:2407 spec:4011 main:1 pdf:1
[190/318] OK: DOS 300.2(3384032) | desc:2407 spec:4011 main:1 pdf:1
[191/318] OK: DOS 300.2(3694032) | desc:2407 spec:4011 main:1 pdf:1
[192/318] OK: DOS 300系列 | desc:2407 spec:4011 main:1 pdf:1
[193/318] OK: SPN 2216S15N | desc:2405 spec:13578 main:1 pdf:1
[194/318] OK: SPN 2216SM20(110016) | desc:2405 spec:13578 main:1 pdf:1
[195/318] OK: SPN 2216SM20(12216) | desc:2405 spec:13578 main:1 pdf:1
[196/318] OK: SPN 2232S15 | desc:2405 spec:13578 main:1 pdf:1
[197/318] OK: SPN 3820T20 | desc:2405 spec:13578 main:1 pdf:1
[198/318] OK: SPN 3832T15 | desc:2405 spec:13578 main:1 pdf:1
[199/318] OK: SPN 45100T15A&15B | desc:2405 spec:13578 main:1 pdf:1
[200/318] OK: SPN 69100TM15 | desc:2405 spec:13578 main:1 pdf:1
[201/318] OK: SPN 69100TM20 | desc:2405 spec:13578 main:1 pdf:1
[202/318] OK: SPN 6932T20 | desc:2405 spec:13578 main:1 pdf:1
[203/318] OK: SPN 70100T20A&20B | desc:2405 spec:13578 main:1 pdf:1
[204/318] OK: SPN 70100TM20 | desc:2405 spec:13578 main:1 pdf:1
[205/318] OK: EFTN 2216S | desc:3318 spec:1654 main:1 pdf:1
[206/318] OK: EFTN 2232S | desc:3318 spec:1654 main:1 pdf:1
[207/318] OK: EFTN 3816T | desc:3318 spec:1654 main:1 pdf:1
[208/318] OK: EFTN 3832T | desc:3318 spec:1654 main:1 pdf:1
[209/318] OK: EFTN 3850T | desc:3318 spec:1654 main:1 pdf:1
[210/318] OK: EFTN 38100TM | desc:3318 spec:1654 main:1 pdf:1
[211/318] OK: EFTN 38100T | desc:3318 spec:1654 main:1 pdf:1
[212/318] OK: EFTN 38200T | desc:3318 spec:1654 main:1 pdf:1
[213/318] OK: EFTN 6932T | desc:3318 spec:1654 main:1 pdf:1
[214/318] OK: EFTN 6950T | desc:3318 spec:1654 main:1 pdf:1
[215/318] OK: EFTN 69100T | desc:3318 spec:1654 main:1 pdf:1
[216/318] OK: EFTN 69200T | desc:3318 spec:1654 main:1 pdf:1
[217/318] OK: EFTN 8050SMD | desc:3318 spec:1654 main:1 pdf:1
[218/318] OK: EFTN 10050T | desc:3318 spec:1654 main:1 pdf:1
[219/318] OK: EFTN 15200T | desc:3318 spec:1654 main:1 pdf:1
[220/318] OK: SEPN 2216S | desc:4021 spec:3112 main:1 pdf:1
[221/318] OK: SEPN 2232S | desc:4021 spec:3112 main:1 pdf:1
[222/318] OK: SEPN 3816T | desc:4021 spec:3112 main:1 pdf:1
[223/318] OK: SEPN 3832T | desc:4021 spec:3112 main:1 pdf:1
[224/318] OK: SEPN 38200T | desc:4021 spec:3112 main:1 pdf:1
[225/318] OK: SEPN 4516S | desc:4021 spec:3112 main:1 pdf:1
[226/318] OK: SEPN 4520S | desc:4009 spec:3112 main:1 pdf:1
[227/318] OK: SEPN 4532T | desc:4009 spec:3112 main:1 pdf:1
[228/318] OK: SEPN 4532Ta | desc:4021 spec:3112 main:1 pdf:1
[229/318] OK: SEPN 45150D | desc:4009 spec:3112 main:1 pdf:1
[230/318] OK: SEPN 6916T | desc:4021 spec:3112 main:1 pdf:1
[231/318] OK: SEPN 6963T | desc:4009 spec:3112 main:1 pdf:1
[232/318] OK: SEPN 69125T | desc:4021 spec:3112 main:1 pdf:1
[233/318] OK: SEPN 10050D | desc:4021 spec:3112 main:1 pdf:1
[234/318] OK: SEPN 100200T10 | desc:4009 spec:3112 main:1 pdf:1
[235/318] OK: SEPN 38125T | desc:3847 spec:3081 main:1 pdf:1
[236/318] OK: SEPN 45125T | desc:4021 spec:3112 main:1 pdf:1
[237/318] OK: RWPN 6916TUL | desc:2888 spec:8843 main:1 pdf:1
[238/318] OK: SPN 2216S | desc:2593 spec:15986 main:1 pdf:1
[239/318] OK: SPN 2216S10 | desc:2593 spec:15986 main:1 pdf:1
[240/318] OK: SPN 2232S | desc:2593 spec:15986 main:1 pdf:1
[241/318] OK: SPN 3032S | desc:2593 spec:15986 main:1 pdf:1
[242/318] OK: SPN 4516S10 | desc:2593 spec:15986 main:1 pdf:1
[243/318] OK: SPN 6916S10 | desc:2593 spec:15986 main:1 pdf:1
[244/318] OK: SPN 3816T | desc:2593 spec:15986 main:1 pdf:1
[245/318] OK: SPN 3832T | desc:2593 spec:15986 main:1 pdf:1
[246/318] OK: SPN 4532T10 | desc:2593 spec:15986 main:1 pdf:1
[247/318] OK: SPN 6932T | desc:2593 spec:15986 main:1 pdf:1
[248/318] OK: SPN 69125T | desc:2593 spec:15986 main:1 pdf:1
[249/318] OK: SPN 69200T | desc:2593 spec:15986 main:1 pdf:1
[250/318] OK: SPN 150125T | desc:2593 spec:15986 main:1 pdf:1
[251/318] OK: SPN 38100TM | desc:2593 spec:15986 main:1 pdf:1
[252/318] OK: SPN 69100TM | desc:2593 spec:15986 main:1 pdf:1
[253/318] OK: SPN 69200TM | desc:2593 spec:15986 main:1 pdf:1
[254/318] OK: VVT 2216S | desc:2715 spec:10847 main:1 pdf:1
[255/318] OK: VVT 2216SV | desc:2715 spec:10847 main:1 pdf:1
[256/318] OK: VVT 3810T1 | desc:2715 spec:10847 main:1 pdf:1
[257/318] OK: VVT 3810T1V | desc:2715 spec:10847 main:1 pdf:1
[258/318] OK: VVT 4510SV | desc:2715 spec:10847 main:1 pdf:1
[259/318] OK: VMT 2210S | desc:2725 spec:10694 main:1 pdf:1
[260/318] OK: VMT 2216S | desc:2725 spec:10694 main:1 pdf:1
[261/318] OK: VMT 2216SV(AC 110V) | desc:2725 spec:10694 main:1 pdf:1
[262/318] OK: VMT 2216SV(暂降120%) | desc:2725 spec:10694 main:1 pdf:1
[263/318] OK: PFS 1130D | desc:1936 spec:15132 main:1 pdf:1
[264/318] OK: PFS 1150D | desc:2868 spec:15115 main:1 pdf:1
[265/318] OK: PFS 3016D | desc:2987 spec:15115 main:1 pdf:1
[266/318] OK: PFS 1110DC | desc:2987 spec:15115 main:1 pdf:1
[267/318] OK: PFS 2210DC | desc:2987 spec:15115 main:1 pdf:1
[268/318] OK: PFS 3005DC | desc:2987 spec:15115 main:1 pdf:1
[269/318] OK: PFS 4030DC | desc:2987 spec:15115 main:1 pdf:1
[270/318] OK: PFS 10075DC | desc:2987 spec:15115 main:1 pdf:1
[271/318] OK: PFS 3810T1 | desc:2070 spec:18609 main:1 pdf:1
[272/318] OK: PFS 3820T1 | desc:2070 spec:18643 main:1 pdf:1
[273/318] OK: PFS 3820T3 | desc:2070 spec:18609 main:1 pdf:1
[274/318] OK: PFS 3830T1 | desc:2070 spec:18609 main:1 pdf:1
[275/318] OK: PFS 3830T3 | desc:2070 spec:18609 main:1 pdf:1
[276/318] OK: PFS 3850T1 | desc:2070 spec:18609 main:1 pdf:1
[277/318] OK: PFS 3850T3 | desc:2070 spec:18609 main:1 pdf:1
[278/318] OK: PFS 3875T3 | desc:2070 spec:18609 main:1 pdf:1
[279/318] OK: PFS 38100T | desc:2070 spec:18609 main:1 pdf:1
[280/318] OK: PFS 4530T1 | desc:2070 spec:18609 main:1 pdf:1
[281/318] OK: PFS 4875T1 | desc:2070 spec:18609 main:1 pdf:1
[282/318] OK: PFS 6930T1 | desc:2070 spec:18609 main:1 pdf:1
[283/318] OK: PFS 3810T1VD | desc:2070 spec:18609 main:1 pdf:1
[284/318] OK: PFS 3816T1V | desc:2070 spec:18609 main:1 pdf:1
[285/318] OK: PFS 3830T1V | desc:2070 spec:18609 main:1 pdf:1
[286/318] OK: PFS 69100T1 | desc:2070 spec:18614 main:1 pdf:1
[287/318] OK: PFS 69200T1F | desc:4113 spec:2638 main:1 pdf:1
[288/318] OK: PFS 2210SD | desc:2097 spec:17747 main:1 pdf:1
[289/318] OK: PFS 2216SD | desc:2097 spec:17747 main:1 pdf:1
[290/318] OK: PFS 2216S | desc:2097 spec:17747 main:1 pdf:1
[291/318] OK: PFS 2216SV | desc:2097 spec:17747 main:1 pdf:1
[292/318] OK: PFS 2216SVD | desc:2097 spec:17747 main:1 pdf:1
[293/318] OK: PFS 3032S | desc:2097 spec:17747 main:1 pdf:1
[294/318] OK: TCXS 115400 | desc:1690 spec:4966 main:1 pdf:1
[295/318] OK: TCXS 25151 | desc:2553 spec:3281 main:1 pdf:1
[296/318] OK: TCXS 331 | desc:2550 spec:3556 main:1 pdf:1
[297/318] OK: TCXS 223 | desc:2577 spec:3042 main:1 pdf:1
[298/318] OK: TCXS 221 | desc:2600 spec:3544 main:1 pdf:1
[299/318] OK: TCXS 3360 | desc:1926 spec:3402 main:1 pdf:1
